"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w"
"Hidalgo",0.799960450149757,4.93835235634627,14.1623991670784,10.087991221331,24.9327821660917,12.3733482446299,42.1939390503091,3.53108013382005,1.65065671279717,0.811834029422877,2.80438345695622,8.36869041690997,28.537789966047,5.96108572169548,20.3288307944993,NA,9.822139227945,10.8852948863297,0.174377178992978,0.0506964116410047
"Cameron",0.6973105097359,3.87859852711448,16.8474027458252,16.7898013809369,31.371867896043,15.55400260025,53.0949740072471,5.28534493333459,1.8724241100087,0.911751576587377,3.17755118957238,9.95451082170825,33.9806098093981,9.92124627055382,33.8339936918867,NA,16.7860839508875,16.7997505648125,0.204997310737235,0.0521339535937043
"Bexar",0.676213759761224,2.45074862096139,25.3671648688726,25.5033451263281,10.07534027818,4.97129072688314,17.1138244186231,2.55582817946586,1.10014636716633,0.516210339419123,1.92671789258182,14.9342900625101,51.4117624552667,15.070158483739,51.3931045727529,NA,25.5033451263294,25.5033451263288,0.0626369238624022,0.0126885086923837
"El Paso",0.63526674764465,2.22580500694165,26.3510429927256,26.9672703147399,10.0786057201537,5.00254406981249,17.0544982545972,2.655817726385,1.65511744943235,0.821251718589624,2.80103465019067,15.572535097414,53.0893419292666,15.9352051859829,54.3431356342479,NA,26.9659302726781,26.971160800627,0.0591133239291211,0.0124887304075608
"Galveston",0.422856913231133,1.45588493246799,27.0474693391143,28.7849317375475,12.4761061353732,6.19100132327986,21.113615274381,3.37447098168043,5.34435304428423,2.65095614685659,9.04584108816585,15.982440419737,54.5060613860878,17.0092778449144,58.0059988044495,NA,28.7830306403304,28.7895127431625,0.04912841457279,0.0103584006629376
"Webb",0.7923997796697,2.14046313223644,30.0625478925537,30.7683385265354,15.827245587342,7.79817788358454,26.9621293044938,4.75807328476677,1.54372788966746,0.707247338781737,2.79396542772926,17.6472459983854,61.0151929822311,18.1812909474983,62.0028640004425,NA,30.5744839532818,27.4588209789768,0.101844804465224,0.0224710956471313
"Harris",0.737026372002151,2.02654465212876,32.7207351319653,42.8236406323837,8.01757394214856,4.00231641707795,13.5356718267748,2.6234091336199,0.392943896228328,0.217677513160914,0.633809407745776,19.3814475350278,65.5472696367975,25.3048785554999,86.296124304655,NA,43.4939205113491,41.1276832510291,0.0531645575008316,0.0103647475992414
"Fort Bend",0.607852081220939,1.75438596491228,33.16174644713,35.2824246040198,6.04323219403846,2.97593414514372,10.2698021491932,2.00404133739836,1.1425935519134,0.542951291164233,1.97790750430098,19.513923523403,67.3415888812143,20.8487054478309,71.0994313990099,NA,35.2543240472454,35.4309721759197,0.0351586199543573,0.00799636482716429
"Nueces",0.771935924876759,2.01641148804163,33.6167050705142,12.9736481310297,16.4113520586341,8.14173374975107,27.7709814739887,5.5169558196348,0.483592829976365,0.235408670059057,0.819506199048547,19.8659014799394,67.7614374187006,7.67338272294027,26.1419796406639,NA,13.132535320651,21.3103167147684,0.111244530937297,0.0267759789104661
"Collin",0.469581290851737,1.06672895740871,38.7860327706377,40.8089870715913,3.29429110626187,1.63478963897556,5.57949240485037,1.27772482803493,1.49290863948353,0.740304902328306,2.53177631813299,22.9003775849606,78.1583634721111,24.1144014513949,82.2362921291138,NA,40.8089870715897,40.8089870715903,0.0136298607366492,0.00308412907179653
"Travis",0.622793883746708,1.45579857936564,41.4124107766755,79.6032299225979,5.49914878274666,2.92058219508785,9.30625178618667,2.2773300831316,0.655245372524954,0.516368083435176,1.10952622856297,24.4709700043991,77.9752094278276,47.0382722269813,98.9999999999978,NA,81.3965386042044,74.2849010613126,0.0331533389976961,0.00488491226777648
"Tarrant",0.678743810925998,1.48269119195479,42.7976941719768,76.3121634123948,5.21538442136598,2.84159100549079,8.82601620015953,2.23206427454913,0.523598769634909,0.512653034331477,0.887010486838975,25.2896009244668,78.5498078448352,45.0935511073187,99,NA,77.7969109644326,71.7295065800787,0.0330946203975096,0.00637910798966488
"Brazoria",0.790680996970971,1.43950437317784,44.2427681220298,31.9972198192886,6.70139770276515,3.31065081379851,11.3609728620403,2.96488384656942,0.59547742099399,0.279731596329044,1.0291326331174,26.0970946993087,89.5559215792869,18.9009358233512,64.558582478189,NA,42.1204702424245,36.2035981728689,0.0426796326310103,0.00918422474338196
"Dallas",0.66966000882473,1.4043413988952,45.0101332056764,56.4850259388027,6.49543447165157,3.45175271240366,10.9513709791347,2.92360370797779,0.626055484467115,0.538416474026667,1.01955436815858,26.6962347778012,84.6991065574311,33.3775153274727,98.9999999999986,NA,56.4596492334744,56.5009989741028,0.0410573772107673,0.0077717103676891
"Denton",0.741326147550665,1.28684462220676,52.6421842443069,71.3277348808135,2.54317463136483,1.47355134805104,4.35915696238607,1.33878267509755,0.105884884864134,0.105884884864134,0.235088408892005,30.7119630389436,90.8541583480113,36.1454838732904,98.9999999999995,NA,66.4541319702348,71.3277479522945,0.0172280528575287,0.00372498440162782
