"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U"
"United Kingdom",0.670136811322053,14.8840974129854,4.30630099755503,4.54175756542461,10.7906598763021,5.34839031025972,18.2631727915118,0.464678293895967,0.413839301725583,0.198720263294761,0.702771067048851,2.54434593156747,8.68818965969225
"Italy",0.658639085046343,13.967530279303,4.63455178855225,5.98112709819978,8.98840850555637,4.46052342013191,15.211001441553,0.416572447156645,0.189275836349317,0.0939970724421464,0.320215767918637,2.73862604482216,9.33909337358273
"France",0.645217459972889,13.1080156275717,4.67654368915976,8.26011557956517,7.58002690167156,3.76084679177758,12.8282509331762,0.354483269706733,0.563011327071124,0.278676110891263,0.953360114286655,2.76330165003224,9.42562378456223
"Belgium",0.660559171523892,13.0146605242089,4.9110658235261,19.3578189981809,13.4445873076856,6.67184925374239,22.752242245194,0.660272532381874,0.510359182769486,0.253213550030998,0.863749908817676,2.90201082278536,9.89639464667928
"Mexico",0.649552726036304,10.9328503552143,5.06264648776123,8.06656224561652,7.83054103182658,3.88905461150794,13.2495678065417,0.396432610520471,2.07513325811481,1.03109762818675,3.5122443082633,2.9920418258831,10.1935470216181
"Netherlands",0.658113783720644,10.0728710541795,6.37387559414977,29.3050293843278,5.61633737050053,2.78708115309933,9.50453449131482,0.357978356943446,0.158208765828498,0.0785327638524406,0.26770609575426,3.76639547439766,12.8442028516235
"Spain",0.649964256432973,8.52330331362982,7.48722991527675,66.4139184369612,9.6400689519771,4.81615248526642,16.3139471824466,0.721774126425735,0.319008643709327,0.190663911238809,0.53984512230114,4.42427646941474,14.9865297793994
"Sweden",0.589252142624501,6.8883270524257,8.16658626196372,9.20348504730604,10.2304632482301,5.07782242668735,17.3116470179047,0.835479606165204,1.55059759322267,0.770421720605448,2.62277959037861,4.82611276270306,16.4535018352395
"Canada",0.671265352694203,7.35752557233317,8.86862725204643,16.292358257911,3.71265025990305,1.84244166618944,6.28284507812943,0.329261112722935,0.0687487204419073,0.0341364894068456,0.116315701554386,5.24063714174797,17.8709111265333
"Ecuador",0.620662539217208,6.11126363848978,9.54242065210347,28.3953253470342,5.93189769020495,2.96873677798529,10.0385801518653,0.566046630251766,0.888620530280159,0.465586086956815,1.50445180563861,5.6387120657356,19.0669187800445
"Iran",0.719777368464878,5.69748218979318,10.9477580711284,11.0690789861548,3.70514630150709,1.83922226174667,6.2717376004301,0.405630453270358,0.525633910062028,0.260668251209707,0.892056228563674,6.4675928604306,22.0544553916578
"Egypt",0.627397869043249,5.31381362633704,11.1736153749049,11.5258074046335,0.856808351867182,0.425131254847287,1.44991962305335,0.0957364697377007,0.119581003621808,0.0592121915001762,0.202409821279589,6.60288116772237,22.5192734352337
"Romania",0.731570805642099,4.29229637856253,11.9871051332509,12.4645713181728,2.87047935908404,1.48852742353002,4.76967162872603,0.34408737860167,0.953824932948121,0.536662035011075,1.52712457569283,7.21406850168373,23.1159583063423
