"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U"
"NJ",0.647267814441505,8.545859372479,7.28903928344416,7.38754454783514,28.7195615525136,14.5394419927695,48.2070507752618,2.09338012359564,1.74070855923177,1.1511132352604,2.55097905612459,4.34247706493153,14.3979399253196
"CT",0.660496950158113,8.77608172602848,7.30286684682651,11.033298313743,19.474731299222,9.66446524289887,32.9568076131358,1.42221369555943,0.631178080455815,0.313407948628099,1.06788399067141,4.31538670933823,14.7159067761605
"MA",0.658919770727335,7.18770491803279,8.6642791746264,8.56869256638484,20.4291562211465,10.2538949679917,34.4128390225545,1.77003912802069,1.44984195469197,0.834873421793996,2.29498240690653,5.14354287032404,17.262114869969
"MI",0.651445656273405,6.62586509134757,9.61701402978164,60.632596661528,10.2754220119548,5.41145252472242,17.0369323291236,0.988188776508966,0.474225104053585,0.474225104053585,0.474225104053585,5.80027411871396,18.2610634020051
"PA",0.687061023258308,6.0967555518864,10.1028362577636,10.8710416231127,9.36549967936802,4.64798416383911,15.848698384406,0.946181097327923,0.832555428161569,0.41314274715904,1.40894690825344,5.97008709724008,20.3568055306454
"NH",0.682081208349816,6.09844634819225,10.3770381989523,10.995931382495,4.88101403656316,2.4224907824988,8.25971935816479,0.506504691070382,0.248389993564408,0.123472908414807,0.420061349389975,6.13222640027955,20.9084259362144
"NY",0.661254190814977,5.96589094470586,10.9907418223224,37.5066997149248,19.7701157844886,9.81094427205821,33.4568302510549,2.17288238384736,0.170030729806327,0.0844937911225508,0.287582642096206,6.49458531349918,22.1475356866084
"RI",0.665972275994274,5.05737989964727,12.0400302538812,13.552869507087,15.7815858130889,7.8322176934734,26.7062627811484,1.90010770643813,1.35382518530774,0.672264589141122,2.29048194031511,7.11483939931642,24.2601493063898
"DC",0.664855102161863,4.57597036808396,13.8352362718269,28.1305177982408,13.2719469839668,6.58705787192914,22.4588726637704,1.8362052231034,0.696733149098279,0.346379494534965,1.17821802224671,8.17585660060969,27.8759540117056
"IL",0.647408244941778,3.94260929597335,14.4199990111784,16.8125033659518,10.9393955462516,5.4191647448558,18.5664019226668,1.57746072959837,1.71266342657453,0.839985879505637,2.95261900456361,8.49631897536661,29.1089273692186
"VT",0.608027285022736,3.92422192151556,14.973603095229,24.5640644103675,1.58187143284596,0.784931165554239,2.67709875932396,0.236863149831167,0.197654141136712,0.0979456120085376,0.334688137440468,8.84775539214627,30.1762957346608
"LA",0.531148154742823,3.2471110316893,15.2725430454465,57.5555656698195,18.9163476832421,9.74122598829574,31.6296607552834,2.88900734254949,5.8734603157235,3.26605554358421,9.560875389372,9.13385497524474,29.6575333127543
"IN",0.663188460286412,4.0328271608165,15.5343752177168,57.8532237659539,7.31702074350861,3.69918639016091,12.3536546834457,1.1366534570548,0.615668935825596,0.373198982797094,1.01359887210932,9.2009489190106,30.7271204305376
