"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","prevalence","prevalence_U","prevalence_L","difEposPerEinfected_k","ascertainmentRate","docuTransmissionRate"
2020-05-17,1763,33,138,1477.42857142857,29.5714285714286,127.428571428571,101.571428571428,1,4,NA,7379.1537359542,10763.0628268633,735.069889893502,193.519480519481,12387.7167119944,3734.66054286228,18109.2881405659,5417.56387261523,27.8452186650541,8.16513930779781,1243.96442905054,364.771524308054,1.87180941576858,5.30905360348807,0.306604175139032,0.918901690247974,13.8179280593501,1.48547069189151,0.0612181982153449,0.103002092319017,0.0308140446946276,10.7488306426028,13.8179280593501,1.48547069189151
2020-05-18,1912,35,138,1591.42857142857,30.8571428571429,131.285714285714,114,1.28571428571428,3.85714285714285,NA,8050.68302211627,11586.3929788262,823.330151962944,150.515151515152,13524.3486907742,4067.75670849802,19502.6160900416,5826.1337224615,27.9022057165729,8.18184979658904,1393.32794947575,408.569849846273,1.83054393305439,5.15144288099213,0.302078481749768,0.916342087276864,13.8462073480738,1.54508778586493,0.0659011392378332,0.110927069433997,0.0331379101644339,11.157514552805,13.8462073480738,1.54508778586493
2020-05-19,2133,43,155,1724.85714285714,33.1428571428571,136.285714285714,133.428571428572,2.28571428571429,5,NA,8831.70900497479,12541.7219919878,955.329013161547,172.017316017316,14846.8761782491,4454.75778699495,21119.3267276996,6300.20676658678,28.1451504324114,8.25308922454168,1616.710637658,474.07304412528,2.01593999062353,5.14640638864241,0.342855630410803,1.06213980745957,13.9667663799936,1.65754734442304,0.0713348639897343,0.120122603629522,0.0358343450037232,11.8664343203817,13.9667663799936,1.65754734442304
2020-05-20,2265,45,159,1856.71428571429,35.4285714285714,141.714285714286,131.857142857143,2.28571428571428,5.42857142857144,NA,9611.0502697623,13495.3662870783,953.644295090538,172.017316017317,16166.552604373,4840.92283998295,22733.1863040067,6773.44378520314,27.8628124322702,8.17029838239501,1613.85957630706,473.237018616357,1.98675496688742,5.14950166112957,0.333447785282324,1.05149552200661,13.8266588009762,1.49315680928689,0.0767590063944479,0.129301921545191,0.0385260246932803,10.7979587478863,13.8266588009762,1.49315680928689
2020-05-21,2512,48,222,1998.71428571429,38.1428571428571,155,142,2.71428571428572,13.2857142857143,NA,10517.1063007287,14533.149590772,1037.78330369366,129.012987012986,17701.1639095249,5289.60907661718,24489.4349717959,7288.43399605864,27.5733396493323,8.08541538589443,1756.24866778928,514.990210855502,1.91082802547771,5.42572647835806,0.330279405026411,1.06706498862534,13.6830106530521,1.47760832032762,0.0826617150390103,0.139291120789836,0.0414551883815593,10.7978137098989,13.6830106530521,1.47760832032762
2020-05-22,2743,51,222,2155.85714285714,41.1428571428571,167.428571428571,157.142857142857,3,12.4285714285714,NA,11527.2383204082,15675.2945974645,1142.14500669254,129.012987012988,19412.1016131584,5789.79811323582,26422.2957523525,7855.21272118426,27.725609691512,8.13006599976667,1932.8607805566,566.77872512562,1.8592781625957,5.63600782778865,0.325352736963867,1.08198970082433,13.7585732303744,1.49428790887811,0.0891580126575523,0.150284855221214,0.0446789150193321,10.8598788871555,13.7585732303744,1.49428790887811
2020-05-23,3054,55,244,2340.28571428571,44.2857142857143,182.571428571429,184.428571428572,3.14285714285714,15.1428571428572,NA,12645.762050448,16990.4806651666,1315.18606770213,193.519480519481,21306.2736398191,6343.91944865836,28647.9952515408,8507.86144651013,28.2584741641051,8.28631949173007,2225.69949918821,652.648725325867,1.80091683038638,5.80415652499532,0.323710677077896,1.10804707712895,14.023002216774,1.60005122610247,0.0966385340182283,0.162944199062358,0.0483910534389157,11.409376913581,14.023002216774,1.60005122610247
2020-05-24,3424,58,258,2577.57142857143,47.8571428571429,199.714285714286,237.285714285714,3.57142857142857,17.1428571428571,NA,14146.1859639016,18644.9911587068,1654.51049354019,150.515151515152,23847.2327900593,7087.19533267078,31447.9360867626,9328.8967290188,28.9007938319885,8.47466886802671,2799.94083522187,821.035282508667,1.69392523364486,5.99713569638382,0.31107550283238,1.11059955991721,14.3417473151221,1.87653341155817,0.106049066407774,0.178869715413897,0.0530609416923744,13.0835175210463,14.3417473151221,1.87653341155817
2020-05-25,3760,59,274,2841.57142857143,51.2857142857143,219.142857142857,264,3.42857142857143,19.4285714285714,NA,15777.9481717566,20473.7014185098,1828.710259803,193.51948051948,26610.1600429128,7895.86250778248,34542.6765264292,10236.3770083195,29.0915412733185,8.53060232826634,3094.74043966661,907.480279300737,1.56914893617021,6.16414835164835,0.288174564989306,1.07808628902242,14.436403940143,1.86638238168474,0.116450413028518,0.196471994310542,0.0582225121959017,12.9272318663809,14.436403940143,1.86638238168474
2020-05-26,3954,63,289,3101.71428571429,54.1428571428571,238.285714285714,260.142857142857,2.85714285714286,19.1428571428571,NA,17270.0170056467,22312.6620272917,1838.96060878189,344.034632034633,29135.5952123532,8635.99978088369,37654.7637105217,11148.9439269632,28.5067157079844,8.35911212489768,3112.08718409244,912.566918643644,1.59332321699545,6.01587301587302,0.282350890821282,1.09618734773622,14.1461897498269,1.64894601223187,0.126910061631297,0.21417293809986,0.0634130145100626,11.6552582678256,14.1461897498269,1.64894601223187
