"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w"
"Italy",0.651710656748791,12.4356874155161,5.0082224100947,9.3101723359071,9.4410083703692,4.6850596891444,15.9770250999055,0.472826696943747,0.557433391637836,0.276608007729641,0.943366783759661,2.95941637436962,10.0922235428359,5.50146547121776,18.7614078890247,NA,9.33328061206124,9.23419617328793,0.0587992500490338,0.00034847180744168
"Mexico",0.644072308587697,10.6335649190554,5.55102534042399,9.55100321410698,9.37583232035926,4.6600789210345,15.8604302298444,0.520454827978805,1.56638599370247,0.783407384604225,2.64624059216449,3.28146727696876,11.1683693945524,5.64377462651752,19.246718598124,NA,9.82703050077418,8.98476547785784,0.0553429020074845,0.0110217062082494
"United Kingdom",0.660266594341521,11.3981280156857,5.71652279351474,37.5217890176239,9.45954231005746,4.69429166276044,16.0083425681683,0.540756892316605,0.14402243231191,0.0714992978119313,0.243689702112692,3.37796926829808,11.5194566329655,22.1719662376846,75.612089990067,NA,38.1780191522948,36.1937230772001,0.0616361628398902,0.000387974789516643
"Belgium",0.653233364793303,10.8090572893012,5.98647668525736,69.2403950483365,13.3871056391157,6.8416700552148,22.6552895510344,0.801415957916433,0.262028363844523,0.262028363844523,0.443620315960089,3.53743418776938,11.7137475418825,40.8909021170436,98.9999999999949,NA,80.2018417434547,53.9618605521629,0.0866255100167895,0.000528627061927187
"France",0.649182201490143,8.04777079236568,7.77262223242455,59.0912899153374,7.54415797065554,3.77801032862821,12.7859331570006,0.586378899676401,0.440843142245082,0.252968598357841,0.76506046581895,4.58612517738172,15.520838977942,34.9171129324044,91.698998850818,NA,59.3991946998088,53.3474909649539,0.0471904298207527,0.000700141076891597
"Bolivia",0.56431857385586,5.79209728373895,7.84788084345797,4.78277341304186,13.9432413844236,6.93871243692999,23.569442475296,1.09424896956528,7.09880525053096,3.53465628856624,11.9969525610611,4.64265953983514,15.7702020297217,2.82618428952469,9.63801308991764,NA,4.72296002956408,5.21761387306474,0.0633799648435322,0.0286108817588865
"Netherlands",0.649597544486194,7.71860958870291,8.28240827519503,77.4699630021583,5.72097016630045,2.948262747423,9.68244333486324,0.473834106475107,0.197815355818169,0.197815355818169,0.335626123775545,4.89374520549982,16.0716376750774,45.467445448028,98.9999999999912,NA,81.7199531974101,67.8990288154622,0.0365734047769324,0.000491310731051066
"Ecuador",0.841137258846695,9.20326993942988,8.38701140958173,9.57490447920621,8.10119562495512,3.97581230411162,13.7706374562406,0.679448201377522,2.3067064432896,1.0901077802164,3.97865661515943,4.93403594086785,17.0895442089876,5.6578981013493,19.2948832687027,NA,9.57490447919513,9.57490447923301,0.0625314520713745,0.0276222789479498
"Sweden",0.611346439794503,6.75799086757991,8.88956146103475,16.943659857449,9.69579224671948,4.81239944891566,16.4069531869848,0.861913410906371,0.899519947391152,0.447259570371412,1.52105343911632,5.25334229386417,17.9102632700321,10.0126094202656,34.1402615742673,NA,17.6686829833667,17.3670618405578,0.058248029595499,0.000418477119912925
"Egypt",0.529269916480083,5.57924169112398,9.1077931402914,7.07712423608938,1.10307857865858,0.549456106328712,1.86391221744027,0.10046611511909,0.279188202505045,0.140549036678703,0.46971757276237,5.39006688078164,18.2846480295528,4.18193704859895,14.2614776272724,NA,7.07712422920585,7.07712399967889,0.00560524738017691,0.000484121241650253
"Canada",0.638031963902854,6.67322891636027,9.17064108451617,15.399989325035,4.02712808891349,1.99852353299195,6.8150036956162,0.369313463047991,0.308629564216318,0.153219924584132,0.5222063020346,5.41912344501816,18.4793152020131,9.09979332333312,31.0350075696754,NA,15.0633762680257,15.3845761384732,0.02464513280813,0.000395605168720526
"Iran",0.710486401884651,5.75811371705756,11.2188236911644,11.2759309401886,4.29952236686784,2.12543287218844,7.30118361262089,0.482355833901081,0.314117633248331,0.147190025937546,0.557371555028673,6.6065429866368,22.6944750978856,6.66305010102052,22.7227093188644,NA,11.2759309401888,11.2759309401885,0.0277745974368855,0.0042658713419716
"Spain",0.65025549265926,5.25262834480494,11.9471726285626,93.3897323335736,10.1424425223139,5.28424989890511,17.1641334993005,1.21173511689359,0.66967764119422,0.583043898949117,1.13389906507751,7.05969291687791,22.931071392832,55.1848418334721,99,NA,96.352095487153,88.3831643187172,0.0636479422139077,0.00212894417934037
"China",0.654739237216758,5.25019962736226,12.4129210475129,11.9689331633535,0.050663455480098,0.0251344567877726,0.0857784532340629,0.00628881472868642,0.000723971780057922,0.000352216432203191,0.00126581191825783,7.33146202989484,25.0206908459856,7.07149807582572,24.1281322910511,NA,9.01953960265982,16.6813008771507,0.000330175327450997,2.16211135424185e-06
"Indonesia",0.696840919955071,4.02801449153884,13.6624939860354,16.0883728562502,0.580799556048258,0.291423516520068,0.978483963987689,0.0793517044160133,0.15341244033099,0.0792045664745593,0.255395017835178,8.10965813814928,27.2289983195467,9.50676577869319,32.4205089375943,NA,16.5296948341469,15.506802653841,0.00319629815316008,0.000952977218150272
"Romania",0.718078345209947,4.03082452679077,13.8702956133498,12.7813197142827,3.81195065947407,1.98838261080662,6.31804819593212,0.52872882510409,0.901106776809401,0.54313514877314,1.39306089708427,8.36854687883691,26.5908996704413,7.55259801298521,25.7562957878724,NA,12.4764814832367,13.6075620491618,0.0213121311625083,0.00605745816661553
"Peru",0.634820481384931,4.2516081320552,14.119449622902,46.405375753157,15.6127108195665,7.77692507412368,26.385419876436,2.20442883893806,2.06517151038165,1.05248336157841,3.46101739483124,8.35472336336316,28.3457641410601,27.4213583995928,92.5869190666565,NA,49.8172090357239,40.361867292802,0.0937236757816607,0.014192354448854
"Honduras",0.546996664062777,3.07584604385129,16.6369945661925,46.0281320164971,4.1404644090117,2.07391145349005,6.98375326640532,0.688848838742412,1.14399153093986,0.58635439632135,1.91360388130582,9.86359071498206,33.2149589888803,27.1984416461118,92.1772199878426,NA,49.4731803653591,41.4038021015851,0.021187929754574,0.00510972833790695
"Poland",0.518946784846541,2.96266123557366,16.6425619752655,51.4994716903225,1.16802869575553,0.583369919454512,1.97501052214579,0.194389899579999,0.338713462940546,0.171730498718692,0.571690757690446,9.84247412357077,33.3218928671821,30.4315059988273,98.9631676988158,NA,53.3688256283629,48.1192900322153,0.0057591142007272,0.000826124081039236
"Germany",0.642585203784317,3.5856558429857,17.3574438262186,48.7394798069324,1.79918160366317,0.892981054008752,3.04473346008142,0.312291936187494,0.109111388997398,0.0542846007298787,0.184635240386789,10.2567906282064,34.971843443437,28.8006017040927,97.6311446144395,NA,49.664853141921,46.8778983076097,0.01119771405708,0.000140091161749184
"Guatemala",0.740446144085529,3.61140365916383,17.6552521632473,18.9419760025762,2.63068883649097,1.30613682130906,4.45103892478031,0.464454747712877,0.224207889556423,0.111634227238964,0.378957417135368,10.4347491801771,35.5594253324382,11.1929858197039,38.1709516415549,NA,19.0905186124628,18.6633876045653,0.016773335754063,0.00337855593011645
"Colombia",0.716884910148139,3.20665083135392,18.3507267401733,22.5506414733227,7.67471945357296,3.81951104103536,12.9728646542704,1.4083667950001,1.56201325799138,0.784402498626824,2.630670065063,10.8562513564534,36.8729604357507,13.3253790524181,45.4429593326054,NA,23.1203513226137,21.395108459172,0.0451614055403831,0.0157411356339402
"Japan",0.442379916622471,1.9160705262878,19.9318020840221,22.8302443962999,0.297426865062331,0.147232129890587,0.503828545674516,0.0592825340889351,0.139197304601896,0.0686799759856719,0.236099724999434,11.7664103389713,40.264671938788,13.49059896145,46.0064015864831,NA,22.7591679992155,23.053668759305,0.0011358951629146,0.000274317499440861
"South Africa",0.504711072896269,2.37992391401605,19.9849972433973,19.8099905650631,5.5389328279784,2.75303781275961,9.36753941031698,1.10695557298511,1.80991939077808,0.901890237218094,3.05780790606085,11.8169299802033,40.2085132232714,11.7059035157189,39.9201325023213,NA,19.80999056493,19.8099905654876,0.026344700399006,0.0064038780382623
"Brazil",0.686299139962175,3.04030389599616,20.5008259168771,33.1928270092823,9.9745707451628,4.96582381656587,16.8580036654045,2.04486938442158,1.10177849194076,0.561562048444318,1.84418846078719,12.129961678784,41.1788549082218,19.6139432327582,66.8885756399144,NA,32.693019402608,33.3925965920054,0.062170243562602,0.0113613146874786
"US",0.655765994649485,2.98668632985743,20.9784527072007,52.5706042974895,9.39440492783213,4.67295897541739,15.8981524932141,1.9708007949082,0.841162472591252,0.427683373825001,1.42454686481905,12.3964139591025,42.1745794319147,31.0644479939684,99,NA,54.2478760974656,49.2090672507102,0.0588616379302446,0.00736511209428017
"Portugal",0.666527554582154,2.93792449849945,21.7752917819196,54.3181612880592,2.84311863875292,1.57701659183275,4.85871859291979,0.619097379294591,0.135313493702897,0.135313493702897,0.276427088564144,12.7419888074348,39.2575057549076,32.0980656663364,98.9999999999981,NA,55.7197522484189,52.1651830448857,0.0181886135758638,0.000831200082767971
"Ukraine",0.531325476554258,2.06096761336608,22.728804568558,52.7629430160737,1.55569992267505,0.780298711364151,2.63212680901641,0.353591995098019,0.621476971516605,0.316324095309652,1.05164983131443,13.4336990864871,45.3149531004421,31.1781026913173,98.958095564983,NA,54.8631966525695,48.9255835501814,0.00728741650242514,0.00256855291570193
