"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U"
"Cameron",1.1007095881938,2.84140840119515,14.6863280193403,13.8524326198109,27.4172089444205,13.6157702426613,46.3842837159539,4.02658123932551,14.806171925729,7.34784910901283,25.0560139597236,8.68091714853962,29.5729229236648
"Hidalgo",1.61205067893805,4.24230750710261,19.6380057212386,10.6410103086768,12.212064260932,6.06933037463889,20.6539155375024,2.39820587824316,0.688120848483749,0.34147350375885,1.16451220512634,11.6113861020135,39.5135168166857
"El Paso",0.619378834060038,1.80127832655433,26.1597705967421,25.8630114707039,7.8248483730929,3.88333686354072,13.2413452934058,2.04696238394401,3.31406311992994,1.64214588097463,5.61149650189096,15.4588702173894,52.7114297799457
"Bexar",0.745902820043785,1.90081693706133,31.1180849905671,33.2143807706361,7.0313211167233,3.47382202829361,11.9927745754125,2.18801248106165,2.35208870680551,1.14770592615352,4.07969575859464,18.244422650514,62.9857391438222
"Galveston",0.454467903079422,1.19501390748944,31.4338565772866,34.2689996605719,9.13928085224336,4.53513313766655,15.4666801798535,2.87282843528959,4.67677422690266,2.31865410316803,7.9174972901752,18.5743055515666,63.3460661039764
"Webb",1.22830408606484,2.03085999546177,33.6089319010808,31.6447236569926,9.504973146902,4.80369695288427,16.0212096639715,3.19451995215831,2.19704711982842,1.17110392150888,3.66233806186844,19.9393180612457,66.5012798161681
"Harris",0.827122337629503,1.89730377200714,33.6471163407738,43.0366020269306,5.59752118157135,2.80138797949829,9.4401979242596,1.88340446416277,1.05328063379445,0.544619039065642,1.75232532827252,19.9509001746961,67.2311182151952
"Tarrant",0.58156233420161,1.43574358660381,36.0212924512026,86.0853979742198,4.34955653033751,2.40079737989438,7.35808554847911,1.56676647812326,1.55184292406477,1.01096025792868,2.62555202060415,21.2931266944443,65.260254415647
"Dallas",0.645780442238647,1.42327065445355,40.7817102311391,83.8962700295076,5.18597380822486,2.90830810350494,8.73536062564335,2.11492881113303,1.20930670980198,0.933614859434538,2.00741602588875,24.2111219189336,72.7202461315647
"Fort Bend",1.08820170147239,1.6496614856489,40.9079442909404,34.1852146695159,3.25383602312441,1.67900246447663,5.55392875542803,1.33107742765828,0.479536450670851,0.301149717731928,0.860516840410189,23.966411638921,79.2778721782996
"Travis",0.639258932890594,1.33640749754494,42.1868762291356,70.8919767696122,4.44585197314017,2.37047894513209,7.52332954112125,1.87556606923923,1.43774407611597,0.87560710910293,2.43560790700055,24.9300001945641,79.1218193728658
"Nueces",1.22042783005991,1.59541702599483,48.3533382749199,43.008956447409,9.26771568130082,4.60410561107896,15.6750902943253,4.48124991373718,1.39049322994065,0.687936570615177,2.3542617202981,28.5883515156495,97.3316055772884
"Collin",0.689690049739631,1.11872970046914,50.8693356812626,74.223877149486,1.62582038931359,0.927528751430168,2.75475697184413,0.827044031414342,0.485225389020602,0.360796070801461,0.825513066111237,30.0223954369626,89.1664037518095
"Brazoria",1.0177353634329,1.31734949282045,55.2489867830824,59.2446595584232,3.7114042364963,2.0643767278344,6.28062421399908,2.0505132360886,0.735842880870127,0.585080257902917,1.24877230937571,32.6482395096676,99
"Denton",0.871175187756968,1.1936172886041,58.4540976301676,87.7957643224897,1.58495897071932,1.04615791545919,2.73481371182202,0.926473464142369,0.255680246624842,0.255680246624842,0.486266703047597,33.8770227799218,88.5596190070128
