"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w"
"IL",0.634599462635065,3.74047327868014,14.9848755395485,18.5192220904172,11.3253944180621,5.62050899460854,19.1655182434053,1.69709625790958,1.92892002354207,0.957119837433641,3.2644479486532,8.85494582695947,30.1947076241229,4.36334346186082,18.5222027331769,18.5136172744402,0.0634794320405883,0.00381949839727061
"OH",0.569258789598117,3.50794175156023,15.3786244028997,54.3544274840651,6.23061750939343,3.13373021383732,10.5039964400873,0.958183264750922,1.44087529163708,0.75617980449905,2.39922139262202,9.12208291592835,30.5764440257161,4.16128868979828,58.2753845543284,46.6252360511724,0.0336125108006604,0.00575750057746105
"LA",0.535957108745376,3.29283274511614,15.502796650418,58.6018194361548,19.5396631113778,10.0391190127375,32.6845022490515,3.02919423833364,5.5478064476153,3.09323272007331,9.0094922739173,9.2679833862899,30.173905045754,5.22250470627041,63.6767164055275,49.8390995387855,0.0997462997930216,0.0204569185040249
"VT",0.611379512785171,3.77358490566038,15.5317741356433,27.1367001857186,1.58590024916024,0.786861228845959,2.68400553884589,0.246318444716173,0.177561514362228,0.0879863679687482,0.300663064572326,9.17727035772394,31.3039244642201,0.554857621440535,29.6040077982686,30.1594111623373,0.0092950356496669,0.000320518470678169
"DE",0.668296020517998,3.55903816245962,17.2830496645926,48.0137332278722,9.93368143221592,4.95155254805818,16.8129174425579,1.71684309545229,0.742027022623686,0.390132625849141,1.25801311172846,10.2114526007634,34.6728239029912,6.62959039548021,50.6412657221107,22.6477971557552,0.0611031009567,0.0067778229632642
"NM",0.607114863241108,3.06459020500188,17.4319946383889,20.5001863754256,6.55259841809361,3.25246849582762,11.0879090001285,1.14224860491723,1.6085850296148,0.798300116540882,2.72214535217448,10.301749454329,35.1194364029214,2.269954600908,20.3462264246336,20.704504762539,0.0350052388630642,0.00681982174035174
"MD",0.666008271848745,3.58900116405325,18.0067561755676,82.472415467238,9.39060282607822,4.81057815485085,15.8451911192542,1.69094295430787,0.383970649496603,0.340677580063278,0.603808394627221,10.6716475780032,35.1505141352453,4.39502279060721,88.6657987372486,70.734754329887,0.0606879623135859,0.00430059149673817
"CO",0.67528345031023,3.339455668726,19.0546201116451,45.7080478982246,4.91212441699507,2.41146368599894,8.38774601527691,0.935986647069774,0.329738140935049,0.137193892410654,0.633355801767197,11.1589769810033,38.8140469418698,3.05795138641389,45.8854321105163,42.9422345474047,0.03125685914409,0.00272629271423451
"MS",0.697348424334029,2.90262296385638,20.7078380008074,32.1885021510807,12.2423293506429,6.11141206293707,20.6679412833453,2.53512172945642,2.43663677123833,1.24226401400865,4.07804227112806,12.2659615425716,41.4817672797876,28.4531249999995,33.4955833512787,29.5608910862908,0.0735850254809151,0.0253347530651187
"ME",0.679774911635751,3.0096402539384,21.7322750341622,39.3062784739322,1.4558694134344,0.734997950939552,2.56220015926068,0.316393545065808,0.0435625549627973,0.0340897010922689,0.172230689396077,12.3485100850631,43.0468608329262,0.916149935757785,38.9674746634459,40.8318919742586,0.00952230749316328,0.000743930272903381
"GA",0.487456594426241,1.98750916953405,22.8215666159607,79.5572576188312,10.1830235146522,5.35267755102765,17.1484096468958,2.32392549491529,4.04740540714601,2.30580506140288,6.76798269369031,13.5518426651067,43.4161309505581,11.718592964824,86.4593532945406,67.016479790286,0.0461882323045809,0.0145421351301535
"MN",0.662102691967693,2.6609021215903,23.6183516092919,85.0279874406639,5.05319824031392,2.6362921209319,8.53588941640503,1.19348212791189,0.473030413944933,0.362910075606616,0.785546412183747,13.9819305252263,45.2712398006186,19.42731079195,91.4923252086906,73.4977241306242,0.0317573912624086,0.00336901414844089
"AZ",0.599558156811404,2.38638679437538,23.704356208349,51.5894097018205,11.3760908176007,5.67578039227581,19.2403548201223,2.69662908998935,2.61356591643487,1.3251629841026,4.41462295097468,14.0154852402676,47.51115976332,9.10312785198714,55.4334799422935,43.6325192782652,0.0643520004967909,0.0222704083700465
"WA",0.693099241991496,2.65253534044752,23.7229854794988,47.1425022815441,3.80236711701734,2.09688863085179,6.52225025441478,0.902034999047262,0.43630844444287,0.425931490923266,0.826643321705763,13.8301194198535,43.0177829082339,100.000000000013,48.9206892741995,43.8482165377672,0.0239267971329341,0.00464878495338017
"NC",0.51070570089452,1.64438574020707,24.7929330606512,21.0736770469567,5.76486520185611,2.86127891657851,9.75521282926977,1.42927917053296,2.59029252981373,1.28505632009383,4.38405572503155,14.6514401638119,49.9524587502318,Inf,20.8897366986116,21.7821513316062,0.0235028628679938,0.00704609154541478
"CA",0.502583179111076,1.81248264834021,25.7248404603917,81.5696352103051,6.34319218976685,3.3381868383322,10.703382727327,1.63177607091355,2.35417315826844,1.35751088422912,3.954333083151,15.2454239232932,48.8821072618213,6.59575474169733,87.277089591752,68.290247045211,0.0295756581450758,0.00926042556502073
