"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","prevalence","prevalence_U","prevalence_L","ascertainmentRate","docuTransmissionRate"
2020-03-26,2985,77,6,1867.14285714286,38.1428571428571,2.57142857142857,337.714285714286,10.1428571428571,0.571428571428572,NA,173605.115922101,173944.289082274,25387.0662869393,150.515151515152,293812.262109928,100571.57534481,294361.225479892,100758.094141803,2.68067781780509,0.786063420258635,42962.7275625126,12598.0930446465,2.57956448911223,NA,0.0442670468839479,NA,1.33026117274538,0.227613987689221,0.0824187090813856,0.139474956813283,0.0477414469453506,1.33026117274538,0.227613987689221
2020-03-27,3417,92,6,2242,49.7142857142857,3.14285714285714,374.857142857143,11.5714285714286,0.571428571428571,NA,200810.217975085,201386.735291102,27442.4462088281,225.772727272727,339858.638111682,114066.777974755,340802.288294832,114376.150155206,2.7526479733098,0.807167450820167,46441.0628149399,13618.0560134034,2.69242025168276,NA,0.0456832471448605,NA,1.36597568600336,0.21593563357445,0.0954215561567339,0.161479774940796,0.0541939875992829,1.36597568600336,0.21593563357445
2020-03-28,3904,111,6,2653.85714285714,63.4285714285714,3.71428571428571,411.857142857143,13.7142857142857,0.571428571428572,NA,229912.291052676,230749.797546183,29363.0622550808,247.274891774892,389116.657385848,128502.327128189,390493.624418815,128947.29383066,2.82652585157713,0.828830888808331,49691.3361239829,14571.1436754536,2.84323770491803,NA,0.0481040508725839,NA,1.40263688875256,0.20510761210773,0.109334434231135,0.185024645528244,0.0610981225835723,1.40263688875256,0.20510761210773
2020-03-29,4256,136,6,3041,79.2857142857143,4.28571428571429,387.142857142857,15.8571428571429,0.571428571428571,NA,256238.751858365,257629.669607283,26879.8720611003,537.554112554112,433677.635013058,141560.396829831,435982.638676061,142286.177710604,2.90236320090424,0.851068908535831,45489.0142572466,13338.8838799445,3.19548872180451,NA,0.0527889509804174,NA,1.4402704605991,0.168395304160645,0.122070721045938,0.206578361676371,0.0674183852134742,1.4402704605991,0.168395304160645
2020-03-30,4579,159,120,3420.28571428571,97.1428571428571,21.1428571428571,379.285714285714,17.8571428571428,16.8571428571429,NA,281136.247798138,283276.096282987,25646.4266757037,731.073593073593,475820.858911135,153908.996318741,479384.28381956,155012.975910578,2.98021315594138,0.873897090839955,43401.6451434986,12726.7981999732,3.47237388075999,NA,0.0561289858503142,NA,1.47890276911377,0.148027549333058,0.134222573747248,0.227143035478588,0.0734486279073574,1.47890276911377,0.148027549333058
2020-03-31,5717,201,127,3916,119.285714285714,39,495.714285714286,22.1428571428572,17.8571428571429,NA,312790.196023714,315919.784768302,32643.6884853158,967.597402597403,529399.958106065,169609.05440705,534627.448948556,171212.099519832,3.06013027415314,0.89733143377423,55243.1651289961,16199.1236092545,3.51582998075914,NA,0.0636237455490211,NA,1.51856088792562,0.176333746116713,0.149689886177046,0.253318487282862,0.0811241363311669,1.51856088792562,0.176333746116713
2020-04-01,6836,240,127,4527.71428571429,145.142857142857,56.8571428571429,611.714285714285,25.8571428571428,17.8571428571429,NA,350790.964084263,355150.53118383,39230.7464155272,1204.12121212121,593721.312845895,188457.582703477,601017.942882525,190679.988718515,3.1421705736628,0.921388363705634,66390.4939339691,19467.8891986827,3.51082504388531,NA,0.0675769790347782,NA,1.55927261550184,0.19557632767327,0.168278294528513,0.284775793723806,0.0903484592724965,1.55927261550184,0.19557632767327
2020-04-02,8044,324,127,5250.42857142857,180.428571428571,74.1428571428571,722.714285714286,35.2857142857143,17.2857142857143,NA,394368.579372547,400290.085866054,45139.5546822241,1526.65367965368,667485.453004091,210069.898775644,677407.958498596,213080.068485633,3.22639157194058,0.946084746659269,76390.0156160715,22400.0797671187,4.02784684236698,111.375661375661,0.0809413001820929,1.18517814726841,1.60106649434645,0.206034038981354,0.189666428884898,0.320971098019227,0.100962119930552,1.60106649434645,0.206034038981354
2020-04-03,9056,359,127,6056,218.571428571429,91.4285714285714,805.571428571428,38.1428571428572,17.2857142857143,NA,441590.295975519,449291.620650843,49001.5347847894,1741.67532467532,747417.522859669,233489.846219868,760333.632749779,237396.619581845,3.31285232590794,0.971437900078269,82925.6742511821,24316.5510962113,3.96422261484099,109.285714285714,0.0799035600708407,1.08403921568627,1.64397183090169,0.204278385002656,0.212884456112332,0.360263144096423,0.112483847727625,1.64397183090169,0.204278385002656
2020-04-04,10360,445,127,6978.28571428571,266.285714285714,108.714285714286,922.285714285715,47.7142857142857,17.2857142857143,NA,494115.547376761,503928.794130008,54637.1734791649,2064.20779220779,836329.948307926,259537.880749808,852796.541714519,264509.803413611,3.40161347338765,0.997465604978333,92462.9089647406,27113.183831766,4.2953667953668,82.9550511793502,0.0883061268146537,1.18439642970027,1.68801871611718,0.208865425216405,0.238772775468874,0.404074146084417,0.125330682897036,1.68801871611718,0.208865425216405
2020-04-05,11130,486,127,7960.28571428571,316.285714285714,126,982,50,17.2857142857143,NA,548335.767895683,560585.75490867,56656.9607786621,2386.74025974026,928110.881933354,286426.955808607,948677.552263024,292625.287709789,3.49273727478877,1.02418611817114,95881.0105485052,28115.4842961782,4.36657681940701,85.0230414746544,0.0866950320703705,1.18750613767086,1.73323804613578,0.198748328040251,0.265618115390573,0.449504721336524,0.138652430527354,1.73323804613578,0.198748328040251
2020-04-06,12161,564,127,9043.42857142857,374.142857142857,127,1083.14285714286,57.8571428571429,1,NA,606452.43509667,621448.049815285,60862.2949066145,2687.77056277056,1026489.85719656,315246.655321879,1051675.28210499,322827.629543147,3.58628765649741,1.05161818498796,102997.729841963,30202.3418333575,4.6377764986432,60.2484472049689,0.0907557759924808,1.19003278196275,1.77966154382578,0.19754207236736,0.294456037028582,0.498307357954693,0.152962978107117,1.77966154382578,0.19754207236736
2020-04-07,14034,686,127,10231.5714285714,443.428571428571,127,1188.14285714286,69.2857142857143,0,NA,668071.311815021,686469.047745757,65020.9979304725,3332.8354978355,1130800.59362102,345800.695111222,1161710.81706425,355093.688666539,3.68233025483263,1.07978105216897,110035.534959261,32266.0591233923,4.88812882998432,55.9178526391641,0.0999316724115534,1.26757492320983,1.82732178059364,0.195926094206338,0.325264445518948,0.550444664630697,0.16825136126775,1.82732178059364,0.195926094206338
2020-04-08,16170,819,127,11565,526.142857142857,127,1333.42857142857,82.7142857142857,0,NA,735165.433729671,757537.775721013,71068.727975256,3891.89177489177,1244383.85488318,379066.880207429,1281980.9720993,390360.876985087,3.78093246159711,1.10869448122021,120270.155035048,35267.1883185482,5.06493506493507,51.5321113754023,0.108113420379662,1.32970088540437,1.87625219898804,0.199603074728118,0.358938404271375,0.607431364057881,0.184961746814067,1.87625219898804,0.199603074728118
2020-04-09,18092,950,173,13000.4285714286,615.571428571429,133.571428571429,1435.42857142857,89.4285714285714,6.57142857142858,NA,804275.126590866,832047.931785672,74510.1560646583,5311.03463203463,1361376.20324169,413334.640789461,1408075.08236256,427335.841648752,3.88216347056892,1.13837876204653,126094.110263268,36974.964663665,5.25093964183064,39.817039364258,0.114176114585273,1.14957874355921,1.92648713577104,0.195261547764229,0.394242988909949,0.667177584215468,0.202481315130954,1.92648713577104,0.195261547764229
2020-04-10,19638,1057,173,14512.1428571429,715.285714285714,140.142857142857,1511.71428571429,99.7142857142858,6.57142857142856,NA,874858.349585941,908471.946988538,76424.0152028666,5741.07792207793,1480867.36083775,448329.884638789,1537408.03116742,465260.540922355,3.98609432551651,1.16885472703116,129332.948804851,37924.6992736029,5.38242183521744,37.1770121770122,0.116349217331786,1.02935348732735,1.97806184574504,0.187968575874939,0.430454402972858,0.728458438783467,0.220450889026833,1.97806184574504,0.187968575874939
2020-04-11,20727,1124,173,15993.1428571429,812.285714285714,146.714285714286,1481,97,6.57142857142858,NA,940498.920885423,981391.241231743,72919.2942432051,7181.72294372294,1591985.52545445,480878.573081711,1660809.91373284,501446.055358833,4.09279796919797,1.20014376540392,123401.882565424,36185.5144364777,5.42287837120664,36.1497870176108,0.114531285055007,0.90284515696144,2.03101252606817,0.169292391098487,0.465005201566815,0.786929021019394,0.237596398103534,2.03101252606817,0.169292391098487
2020-04-12,22192,1223,173,17573.4285714286,917.571428571429,153.285714285714,1580.28571428572,105.285714285714,6.57142857142856,NA,1008647.27928203,1057170.64291839,75779.4016866486,7525.75757575758,1707351.79131244,514668.704745762,1789051.97812563,539050.87123341,4.2023492936554,1.23226783798918,128242.064392789,37604.8158745774,5.51099495313627,35.9268374538539,0.115686148512772,0.823251792802369,2.08537634121246,0.168034096969325,0.500911183274666,0.84769299006345,0.255414404063821,2.08537634121246,0.168034096969325
2020-04-13,23430,1328,173,19183.2857142857,1026.71428571429,159.857142857143,1609.85714285714,109.142857142857,6.57142857142858,NA,1075014.8696637,1132355.75278058,75185.1098621893,8708.37662337663,1819701.68052977,547577.162056537,1916288.31789241,576360.775375549,4.31482519152043,1.26524949225035,127236.339766782,37309.904142139,5.66794707639778,34.3957884661402,0.11727763088049,0.763462834569907,2.14119144842367,0.159612938702704,0.536535576174699,0.907980424201967,0.273092674224739,2.14119144842367,0.159612938702704
2020-04-14,25262,1532,3046,20787.2857142857,1147.57142857143,576.857142857143,1604,120.857142857143,417,NA,1137424.39706297,1205314.68710626,72958.9343256752,10428.5497835498,1925353.50711755,578521.323880879,2039757.28367432,612565.960830395,4.43030460926777,1.29911187790559,123468.965781912,36205.1854548464,6.06444462037843,33.584179940633,0.12710373617682,0.760725376368763,2.19849702414791,0.149214131596333,0.57110515712962,0.966482791971833,0.290247503871542,2.19849702414791,0.149214131596333
2020-04-15,28320,1736,14026,22523,1278.57142857143,2562.42857142857,1735.71428571429,131,1985.57142857143,NA,1201735.89064927,1282206.93393931,76892.2468330546,12449.7532467532,2034221.77098887,610410.973759366,2169882.62446872,650723.015649806,4.54886860091551,1.33387876267447,130125.3407944,38157.0548194106,6.12994350282486,32.7502927400468,0.135391562317208,0.752330020854105,2.25733329067988,0.15260746375,0.607538429850348,1.02813909965306,0.308327173041226,2.25733329067988,0.15260746375
2020-04-16,30425,1924,14026,24284.8571428571,1417.71428571429,4541.42857142857,1761.85714285714,139.142857142857,1979,NA,1264152.51062837,1358223.05175391,76016.1178145965,13460.354978355,2139884.31468976,641359.590762957,2298525.28538573,688445.299678102,4.67060038447181,1.36957454883008,128642.66091701,37722.284028296,6.32374691865242,33.3109559613319,0.141655672646366,0.746808394752376,2.31774154417398,0.146616133113587,0.643556572973714,1.08909288032338,0.326200838049814,2.31774154417398,0.146616133113587
2020-04-17,33682,2141,14026,26291.1428571429,1572.57142857143,6520.42857142857,2006.28571428572,154.857142857143,1979,NA,1333295.21504444,1442529.12413535,84306.0723814436,15008.5108225108,2256933.22106422,675643.229259441,2441197.1001851,730281.395747089,4.79558539825847,1.40622428971489,142671.814799366,41836.0960689869,6.35651089602755,34.3431192088104,0.148419880346146,0.755799740286306,2.37976418259443,0.158713343721285,0.683502682673895,1.15669398904676,0.346023719555167,2.37976418259443,0.158713343721285
2020-04-18,36658,2354,14026,28567,1748.28571428571,8499.42857142857,2275.85714285714,175.714285714286,1979,NA,1411660.87000178,1535670.46307537,93141.3389400211,14599.9696969697,2389606.51626675,714491.795951482,2598820.90454513,776501.909807551,4.92391136083009,1.44385370731108,157623.804360036,46220.5140604618,6.42151781330132,30.5804742747195,0.153288095109013,0.745125855832815,2.44344473544952,0.170702086600332,0.727635140014402,1.23137968608454,0.36792403673166,2.44344473544952,0.170702086600332
2020-04-19,38654,2462,22130,30918.7142857143,1925.28571428571,11636.1428571429,2351.71428571429,177,3136.71428571429,NA,1489374.34408279,1629408.03239448,93737.5693191034,15847.0952380952,2521171.27460164,753020.250328953,2757453.71416208,823018.297589963,5.05566833072854,1.4824892097625,158632.809616944,46516.3877824121,6.36932788327211,28.1639220931205,0.151097819027073,0.693227176598433,2.50882789344424,0.166599737978481,0.772050104693428,1.30654347246443,0.389964545519747,2.50882789344424,0.166599737978481
2020-04-20,40743,2587,22130,33392,2105.14285714286,14772.8571428571,2473.28571428571,179.857142857143,3136.71428571429,NA,1568780.98550614,1725422.18464034,96014.1522458605,16427.6536796537,2655600.70074665,792389.426846233,2919939.20257815,870664.418253322,5.19094876949281,1.52215790985128,162485.488416072,47646.1206633593,6.34955697911298,26.1703487959082,0.14993431886001,0.64628130731813,2.57595953974831,0.166069753460294,0.81754376547067,1.38353274454899,0.412540347108454,2.57595953974831,0.166069753460294
2020-04-21,43079,2741,22991,35937.2857142857,2277.85714285714,17622.1428571429,2545.28571428572,172.714285714285,2849.28571428572,NA,1646651.64305139,1821656.38764014,96234.2029998002,18190.8311688312,2787417.71461444,831005.88526289,3082797.08457781,918419.737035178,5.32984760485523,1.56288764352898,162857.881999662,47755.3187818557,6.36272893985469,25.1530161534578,0.150467454707571,0.610071471181544,2.64488678135673,0.162253593190657,0.863141691235097,1.46069846507341,0.435167889217117,2.64488678135673,0.162253593190657
2020-04-22,45757,2906,25318,38428.2857142857,2445,19235.2857142857,2491,167.142857142857,1613.14285714286,NA,1718494.32477337,1913383.69706774,91727.3094276041,19717.4848484849,2909022.65950658,866638.933550273,3238027.91591683,963938.552239854,5.472462296743,1.6047069892705,155230.831339022,45518.8152046759,6.35094083965295,23.6003861003861,0.151877535303214,0.576668774209851,2.71565798184239,0.15128368271043,0.906604149648756,1.53425031777345,0.456735725723144,2.71565798184239,0.15128368271043
