"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w"
"AZ",0.552021315213386,2.4967835118628,21.4402670293126,42.4956745716061,12.9991075768938,6.46276426367981,21.9984761578021,2.78704337591364,3.07591561042414,1.53676798330732,5.20772594074893,12.6692565245033,43.1246330858235,25.1110804286768,85.6352230003565,7.23568071123232,44.2696632906773,38.5902170652967,0.0695864394782762,0.0155659300945483
"GA",0.494826483441353,2.1102424138697,22.2535756274519,71.2277021481053,11.6225700043079,5.98965405936954,19.5845652447747,2.58643740576221,4.30854776318895,2.35786928763277,7.21010873172631,13.2065091741176,43.1817493986364,42.0890967238858,98.9999999999976,10.5645793153327,75.4094431966076,62.6606473023594,0.0545800991445853,0.0170568696377643
"WA",0.646653279345412,2.57676243344587,24.3328165657167,75.8164075849253,4.04437769019577,2.29486154443209,6.52337411701685,0.984111004580104,0.356466297435464,0.356466297435464,0.356466297435464,15.085920061107,42.8832409069647,44.800604482003,99,3.2361034672537,80.4434694993878,67.2146367765993,0.0253582026694269,0.00409723419619947
"KY",0.521586323279503,1.93234782260807,25.1986406373272,87.6417546873265,4.44051491115435,2.37726300885248,7.51167197209901,1.11894939490871,1.46119903666912,0.898195011044929,2.47059179407394,14.89614295013,47.0688094141017,51.7883095879672,98.999999999996,8.84582512727133,92.5872963953459,77.6715777520733,0.0216219942686047,0.00478996560401802
"CA",0.499537938592995,1.84860094487481,25.5246370418227,77.659707958146,7.06025961952685,3.67568984513767,11.9292567111938,1.8021056420946,2.43227219913617,1.37806588482515,4.09869172281972,15.1066045917479,49.0276850882424,45.8898274298099,98.999999999994,4.40776176979263,82.6351060573389,68.5372138933594,0.0333137419274031,0.00875678394505923
"MN",0.683997163016995,2.44146072517351,26.6204236403625,88.7971185851637,5.13457081598376,2.70389685732078,8.67359685215397,1.3668445033293,0.261655771341197,0.261655771341197,0.427770592386376,15.7586815092733,50.5509113496166,52.4710246185041,98.9999999999928,8.14544543011129,94.0245759352859,78.0948521105008,0.0333709717229777,0.00375911052352352
"AL",0.505505957178296,1.7288032501813,27.7349050835163,87.8766332280032,9.43007526626856,4.98014818276002,15.9851903280946,2.61542242440373,3.20538503079757,1.88973348840377,5.45312027320417,16.3615344623518,52.5169599060856,51.9271014529132,98.9999999999992,21.5975193500303,92.5968057490256,76.1372208520346,0.0452155078790623,0.0106461412326885
"FL",0.537637231983221,1.83931599104575,27.8247004544347,67.9114675047923,10.5995600090084,5.40266182293749,17.9151221514937,2.94929582199465,3.18997290011222,1.72383439479993,5.37841754791531,16.4626051503018,54.5896803955626,40.12950352556,98.9999999999841,12.2994865262905,71.4997645579505,60.2178273577394,0.0542468696771918,0.0181583376311946
"MO",0.556022981942619,1.76808503319459,28.8138314788595,87.1580671501316,4.93166767644693,2.64955209937583,8.35922629107848,1.4210024133888,1.40301284985427,0.897873534003838,2.38850420308382,16.9992097821947,53.6317973790194,51.5024942250767,98.9999999999989,13.8741907606471,93.2895861729504,75.8903356926627,0.0251245309924613,0.00439923694420529
"WV",0.676000071103479,2.16124788573576,29.206852559195,90.2186939585612,2.0331286800768,1.10334593210295,3.44067930474536,0.593812895928738,0.526285780089257,0.354601465060937,0.89199504513002,17.2585946940697,53.8192853801479,53.3110464300602,99,3.44590368980612,95.1092167000381,80.195416967805,0.0128337686584862,0.0059146933817371
