"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w"
"Cameron",1.13452003024346,3.14324202963628,17.2637225947489,17.7432169568867,24.3446840472022,12.0910586395305,41.1846261975848,4.20279872047708,9.92232531192657,4.9223847362991,16.7936558159749,10.2047756857474,34.7595594875081,NA,18.0342728568112,17.4916090957636,0.132104135803052,0.109457712522528
"Hidalgo",1.49352497784035,4.33834552309999,18.3928901112526,9.26454956169074,13.8210792644871,6.86730692699129,23.3775264378308,2.54209592130624,0.788333573898282,0.391203126896891,1.33410297121248,10.8741013642593,37.0173628226048,NA,10.3627594111396,14.4949692849268,0.110284904594896,0.0774881371551576
"El Paso",0.654313081309189,1.95095367847411,25.1015423254646,23.2493909357822,8.69490123668265,4.31622196341024,14.7124131914091,2.18255431408324,3.69405006701714,1.83137815657785,6.25385729922781,14.834781253681,50.5663131457403,NA,23.2527586172506,23.2745164967046,0.0425806236753025,0.0212903118376513
"Bexar",0.642239520594301,2.02487968764188,26.4049785414995,26.7519040409557,8.40020437389319,4.11548168609081,14.2965773473706,2.2180721623686,3.00935156235743,1.43680679345889,5.1784260640462,15.5147075308661,53.8958093256756,NA,26.7432554017055,26.7680456167154,0.0449132926730408,0.0319730278558082
"Harris",0.801931922200941,1.98259135204275,27.7491873343513,21.3223912190289,7.07554664916198,3.53484422657334,11.9414717924899,1.96340669460537,2.30855897162121,1.16671969249586,3.87776863535607,16.441915441614,55.5443626014799,NA,15.4166543560485,25.2857952604856,0.0389263313326746,0.0133230636491275
"Galveston",0.479778627027484,1.25792492704035,31.9558140310147,32.5609846340963,9.20301364410882,4.56675993663737,15.5745356737797,2.94089792536032,4.31881441382062,2.141573672185,7.31095811960458,18.882732602497,64.3979093747982,NA,32.5951975228879,33.5019213840788,0.0369942880819202,0.0177572582793217
"Webb",1.17574180337415,2.02051926298157,35.3256683060531,38.3402017583911,9.80023491069033,4.92386679406807,16.6692822527314,3.46199847776449,1.49651707560359,0.797382266995256,2.62486605978855,20.7687315223018,70.3105632738738,NA,38.9842353598215,37.1882632191069,0.0699503461273604,0.0474792504802291
"Tarrant",0.604262809633667,1.42735768903993,37.7456501050482,82.9874124245347,4.48682489695037,2.45254503950937,7.58582610908304,1.69358122642908,1.42149771298329,0.930024552684108,2.40024678220121,22.3256004300077,69.0540315935595,NA,89.0985623717144,71.7297493299789,0.0241734618555722,0.00988042290128546
"Fort Bend",1.04188862189998,1.58652273470723,39.7918869717986,36.3301012485948,3.90043411644393,1.90205717781817,6.63995963117882,1.55205633502484,0.938301016646432,0.430482285442301,1.6293785700912,23.3744845034441,81.5988264246181,NA,39.2674141968004,38.4845305847565,0.0246237266106329,0.0156119503768446
"Travis",0.643733369392168,1.38750828363154,41.3444185880247,68.893296185569,4.67648199617384,2.46398516205154,7.91260535262006,1.93346429169173,1.29643713561618,0.784911938434629,2.19494505070983,24.4352423194152,78.4689908636422,NA,72.3180756800788,62.4659312177881,0.0268269772082806,0.0105706298253524
"Dallas",0.602830267268737,1.30068739358012,42.3293141867757,88.554893495928,5.68070885329043,3.15817269704789,9.57260454806204,2.40460509854529,1.47099711919828,1.06783324279574,2.45027671871327,25.1196535537666,76.139126298983,NA,94.6206791851387,75.060678514258,0.0312763953821634,0.0114490562489859
"Nueces",1.20118667503892,1.68387702417273,45.0288865249616,41.0157730657256,10.4484998470536,5.18949363683535,17.6741048422692,4.70484313969056,1.22248480927097,0.604773705133427,2.06963946926426,26.6199798047961,90.6609289641533,NA,38.4900037102191,42.6844734238138,0.0792237726526162,0.0529998757815411
"Brazoria",0.999924581995687,1.36229749631811,54.0809502243814,57.4985593941343,4.06977399286432,2.19034384672018,6.88709610939109,2.20097244732577,0.597693848985138,0.464887870590929,1.01466105300141,31.9579168399374,99,NA,58.1315753855749,56.2288665103961,0.0299837925445705,0.0213398163155051
"Collin",0.693126603138804,0.979314479864095,54.7777621227951,74.7367309736452,1.81748345204584,1.05489015471343,3.07920668096024,0.995576761982836,0.55233115520263,0.426518919577091,0.938937356719628,32.3322486970043,94.3772920369409,NA,76.2559705868953,71.2002803480412,0.00974982738826002,0.00338259317551878
"Denton",0.884649629024315,1.25301204819277,59.0071276603287,92.2066131441481,1.63737478416829,1.10158859022049,2.79770861262181,0.966167829172215,0.191878260074601,0.191878260074601,0.35270406742449,34.534255097667,87.7067752652407,NA,95.8359859804723,84.8874716889187,0.0121061993052904,0.0072171572781539
