"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U"
"Cameron",1.0877739175383,2.92215292215292,14.5048490882143,13.579663665291,28.1619517333926,13.9853418522264,47.6446176665222,4.08484859922436,15.0352020633364,7.4615031622616,25.4436034233669,8.57357829548626,29.2080711532558
"Hidalgo",1.55245526697316,4.24230750710261,19.2550041624546,10.3107244201559,12.4549746030148,6.18959809566879,21.0653714793559,2.39820587824316,0.559135024740318,0.277465500998954,0.946228503406693,11.3845885917246,38.7457447345622
"El Paso",0.647021817148995,1.89895269881459,26.0079102655908,25.8405190863226,7.94736805644372,3.94413648133276,13.4486862959994,2.06694435259611,3.30027208247366,1.63537106158337,5.58806371651605,15.3691171546693,52.4054976895138
"Bexar",0.68503586444959,1.94628260023355,26.7721851987318,22.6959212466806,8.21370774100735,4.01707911599943,13.8998319645681,2.19898904810506,3.36020668987977,1.60453819188531,5.69176228883074,15.8202563434613,54.7409942549254
"Galveston",0.463558285865881,1.19387755102041,32.3667602718105,35.4361963951563,8.96089741841901,4.44661203516724,15.1648005226124,2.90035218562254,4.38354899218488,2.17337812022807,7.42094799761804,19.1255544792548,65.226112885143
"Harris",0.804973368617279,1.91557170813531,32.8466889656053,43.0028062961765,5.79424854308796,2.89901208370955,9.77312115144154,1.90321879684222,1.22406622897706,0.629064990456532,2.04176597927451,19.4740121129215,65.6505989587624
"Tarrant",0.584855993259921,1.45146658602963,35.9568047529269,86.1529594911081,4.41124740944334,2.43198380885106,7.4622245161073,1.58614361818209,1.54816367447464,1.00972463341649,2.61904089851819,21.2556405232566,65.2201553484615
"Webb",1.22158093845635,2.01621740083279,36.5099241553254,38.4758354060922,9.05945542470991,4.58257555429872,15.4478379786187,3.3076003044471,1.53930133719689,0.844457678488022,2.7300979606721,21.4114124515362,72.1777582334541
"Fort Bend",1.09722752539411,1.69084357387046,40.5958357809589,35.6196278244491,3.38390546791212,1.71673525777861,5.78700033667822,1.37372470673649,0.562665645969124,0.315470106972658,1.01431426748948,23.738113475297,80.0196011884815
"Dallas",0.647275430513895,1.43014106471964,40.9367078680969,84.6626821124906,5.22570019423222,2.93053450083451,8.80258989427119,2.13922962257542,1.18995677301499,0.926527915079287,1.97466622960044,24.3022752197924,72.9979333792603
"Travis",0.658250001522363,1.38291592883042,42.0853077480271,69.9177745059061,4.51309515833422,2.39432748710303,7.63669927252962,1.89934998634627,1.42360013703258,0.859108396886877,2.41119014157317,24.871347143111,79.3270760402267
"Nueces",1.23548944790712,1.64604035847101,47.1213149020086,42.0950735336369,9.60902906780456,4.7731611540538,16.2531889774766,4.52790084606572,1.36804669158969,0.676837248054985,2.3162752707811,27.8585381142151,94.8616797113633
"Collin",0.692970940960044,1.11308466548253,51.1079835445301,76.0307502643708,1.64392408721443,0.947825863270644,2.78546994105707,0.840176451978121,0.475419893776555,0.367286466161765,0.808936056223297,30.1628260134546,88.6424906236405
"Brazoria",1.03429426178003,1.34805494928746,54.9851370011197,57.8715370854175,3.8264846715997,2.09559888223322,6.4753757195587,2.10399783900594,0.716561639472469,0.549685012121496,1.21606236948359,32.4922897161144,99
"Denton",0.876272170186944,1.21332177788783,58.954491526411,92.0108449629243,1.59480528078538,1.07200573720187,2.67214906218264,0.940209344123371,0.242733703678183,0.242733703678183,0.385110121530005,35.1855125685016,87.7056261450135
