"date","positive","death","recovered","positive7","death7","recovered7","dif_pos7","dif_dea7","dif_rec7","testPosRate7","Einfected","Epositive","dif_Epositive","dif_Erecovered","Einfected_U","Einfected_L","Epositive_U","Epositive_L","confirmRate_k_U","confirmRate_k_L","dif_Epositive_U","dif_Epositive_L","CFR","CFRadj","ECFR_k","EIFRadj_k","confirmRate_k","NCC7PerEinfected_k","prevalence","prevalence_U","prevalence_L","ascertainmentRate","docuTransmissionRate"
2020-05-19,12942,837,2843,12294.7142857143,811,2545.14285714286,227.428571428572,12.2857142857143,105.285714285715,NA,9017.1185505249,116027.309026715,2237.67670896505,2451.24675324674,15454.9753695342,4314.25322963674,196476.154856714,57470.1651523005,39.3556598313377,11.540381454302,3789.60673824852,1108.41099843378,6.4673157162726,9.2453260373917,0.721381894504922,1.09044509119007,19.5298763072804,2.46050468201665,0.107316809275372,0.181726131673549,0.0531557165671533,19.5298763072804,2.46050468201665
2020-05-20,13221,842,2932,12523.7142857143,821,2642.42857142857,229,10,97.2857142857142,NA,8980.30031713285,118451.73754657,2424.4285198547,2451.24675324676,15392.6675899477,4295.98252735195,200583.385538666,58670.0985316484,39.8797634545916,11.6940659754066,4107.23068195194,1199.93337934787,6.36865592617805,9.19578853046595,0.710838031961297,1.06569048082628,19.7899578045342,2.53955883290713,0.109559229057832,0.185525020878534,0.0542655675384016,19.7899578045342,2.53955883290713
2020-05-21,13434,846,3000,12746.2857142857,829,2737.14285714286,222.571428571428,8,94.7142857142858,NA,8744.04884508954,120481.213347254,2029.47580068397,2257.72727272728,14992.8574064898,4178.74495475903,204022.729201362,59673.6805079277,40.4103291142731,11.8496453793733,3439.34366269593,1003.58197627926,6.29745422063421,8.9883985687954,0.702184163402835,1.04509360715577,20.0532460266318,2.4783855384792,0.111436346343908,0.188706163240433,0.0551938077642933,20.0532460266318,2.4783855384792
2020-05-22,13597,857,3092,12961.4285714286,836.285714285714,2827.42857142857,215.142857142857,7.28571428571433,90.2857142857142,NA,8488.47023955989,122598.158551248,2116.94520399414,2365.23809523808,14560.3397663627,4051.9164738195,207611.08701911,60719.9486972352,40.9473905530582,12.0071295606712,3588.35781774836,1046.26818930752,6.30286092520409,8.81692898561639,0.699031706615527,1.03330218003116,20.319757718059,2.46039221835164,0.113394366456666,0.192025132841377,0.056161529627919,20.319757718059,2.46039221835164
2020-05-23,13777,863,3177,13171.7142857143,842.857142857143,2915.42857142857,210.285714285716,6.57142857142856,88,NA,8301.16006342697,124847.164392431,2249.00584118311,2429.74458874459,14243.3533144454,3958.96555934753,211423.723277815,61831.1750115495,41.490983419712,12.1665289726975,3812.63625870546,1111.22631431428,6.26406329389562,8.70360535788045,0.691245175010413,1.01611086019666,20.5895105691804,2.4772509564769,0.115474533039361,0.195551543663485,0.0571893330255448,20.5895105691804,2.4772509564769
2020-05-24,14035,868,3249,13389.1428571429,849.142857142857,3003.14285714286,217.428571428571,6.28571428571422,87.7142857142858,NA,8405.52229713007,127215.539613147,2368.37522071607,2257.72727272726,14419.9663253276,4010.75433697464,215437.775849137,63002.0690523345,42.0411439280348,12.3278542345365,4014.05257132172,1170.894040785,6.18453865336658,8.48803335808534,0.682306581915638,0.991538344899309,20.8625225507541,2.61919119727144,0.11766510760311,0.199264249903347,0.0582723247238842,20.8625225507541,2.61919119727144
2020-05-25,14319,873,3323,13617.8571428571,855.142857142857,3088,228.714285714286,6,84.8571428571427,NA,8604.35623897353,129678.100827718,2462.56121457074,2257.72727272728,14756.4545346011,4109.4238118744,219611.417904564,64219.5580761064,42.5979104217939,12.4911165898493,4173.64205542739,1217.48902377194,6.09679446888749,8.26784160439773,0.673205417435756,0.96995616938844,21.1388126905143,2.72093266897777,0.119942797350548,0.203124564791309,0.0593984133874497,21.1388126905143,2.72093266897777
2020-05-26,14669,886,3412,13864.5714285714,862.142857142857,3169.28571428571,246.714285714286,7,81.2857142857142,NA,8953.93788662023,131883.868622551,2205.76779483285,1849.18614718615,15348.0542460032,4282.90041897727,223347.915051864,65311.4868851427,43.1613225418819,12.6563276626571,3736.49714729955,1091.92880903628,6.03994819006067,8.23992026324053,0.671803162322842,0.968988918190572,21.4184006598813,2.86724620335259,0.121982971889883,0.206580552481434,0.0604083679983478,21.4184006598813,2.86724620335259
2020-05-27,15049,904,3506,14125.7142857143,871,3251.28571428571,261.142857142857,8.85714285714289,82,NA,9211.2914350886,133655.230829028,1771.36220647703,1505.15151515152,15783.5756357189,4410.60969866833,226346.396148539,66189.933006939,43.7314238573554,12.8235002288486,2998.48109667539,878.446121796318,6.00704365738587,8.20923656927427,0.676367093448365,0.9651771504007,21.7013080795899,2.91644004373223,0.123621352902635,0.209353929082745,0.061220866673895,21.7013080795899,2.91644004373223
2020-05-28,15588,921,3598,14433.4285714286,881.714285714286,3336.71428571429,307.714285714284,10.7142857142857,85.4285714285716,NA,10192.001521316,135850.776413091,2195.54558406287,1204.12121212122,17443.2388585653,4897.2778617586,230060.055708382,67280.8192151421,44.3082605525889,12.9926478312103,3713.65955984269,1090.88620820305,5.90839107005389,8.16855925249477,0.677949750687807,0.965342796213151,21.987557868202,3.34053471704019,0.125652072641606,0.212788793667991,0.0622298569549667,21.987557868202,3.34053471704019
