"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","testPosRate7","rcntAsct1w"
"Cameron",1.07420278247865,2.99693495288909,14.2515426925279,13.1466330093853,29.1623900803389,14.4817999792825,49.3376671767391,4.15609047246101,15.5753193825272,7.72914084130828,26.3581847256261,8.4237677018107,28.698714789644,NA,10.1331185320603
"Hidalgo",1.57244738047357,4.26946711914152,19.3205610992771,9.65733073871362,13.0337375930226,6.47676223643768,22.0448736456428,2.51819123517938,0.773038726223336,0.383613202486768,1.30821938283948,11.4230241264146,38.8804026340857,NA,9.89575556577288
"El Paso",0.67449408925222,2.00771324863884,25.5593090508963,24.9859823677516,8.2050542993059,4.07271099587575,13.883825719861,2.09715518615345,3.43148669541138,1.70102258577859,5.80939773137923,15.1050238491069,51.492855453705,NA,24.986389514188
"Bexar",0.759851793088062,1.97384934851562,29.6456009308316,24.2896228805095,7.44306629843252,3.69301961304058,12.5956745030791,2.20654173185052,2.41435061338359,1.1936568981111,4.09091346184994,17.5182498667389,59.7489849243938,NA,22.5999840560739
"Galveston",0.473453249969813,1.23381877022654,32.1561099061585,35.1101769544867,9.10059137430599,4.51593384786303,15.4012056787287,2.92639616443221,4.42095934672047,2.1920491497528,7.48411147734082,19.0010848856722,64.8015728976411,NA,35.1101769544858
"Harris",0.799229545295806,1.95530726256983,32.3806343271352,43.6582749022932,5.95316562112329,2.97787319010301,10.0420577450398,1.92767279066466,1.33369342581658,0.683235179880478,2.22760676724657,19.1959938849866,64.733206137565,NA,45.4164721806578
"Tarrant",0.594709239231952,1.47292159386881,36.1193120138392,86.2375391354336,4.43561984002181,2.44494381716891,7.50291336741259,1.60211536976523,1.49790471499689,0.985708194794816,2.53334983288934,21.3532436176553,65.5276967313049,NA,93.3464074502862
"Webb",1.20534682144229,1.98860582607761,36.6874644861439,39.0720554494216,9.19047338205353,4.62564820230553,15.6387072605602,3.3717516581494,1.45055693712457,0.778423156046149,2.54913340551937,21.5602965256133,72.8925225327087,NA,39.7244894155002
"Fort Bend",1.0865081093054,1.66241533995954,40.5951883621267,35.7366479957122,3.5546738257898,1.77467472239583,6.07453298940784,1.44302653523858,0.683746429122989,0.348633833201804,1.2179234464208,23.7553493866078,81.3121704517483,NA,34.0883072588691
"Dallas",0.642062432382247,1.42376075235985,40.8493889502334,83.5325981296674,5.31900407994243,2.96040663598032,8.96048877778079,2.17278066489446,1.22174426012585,0.92588675694814,2.02844169146714,24.2484614263708,73.3946694513797,NA,89.0085419161086
"Travis",0.649984577720495,1.39086719731881,41.6393128283811,72.0049589590881,4.59066708096186,2.44562783327529,7.76882121393546,1.91152222675122,1.40776592265664,0.86415479722332,2.38510551792973,24.6050484894979,78.1607978427047,NA,75.4803268788152
"Nueces",1.22818084563473,1.67604525927271,46.355536473045,42.5788507978885,9.84160745321279,4.88858281506668,16.6467012658869,4.56212993250797,1.28415181530498,0.63531135465268,2.17408092021777,27.4056094336052,93.3221366005588,NA,40.6802657703603
"Brazoria",1.00184093253091,1.3262599469496,54.2077957528195,56.3599944974606,3.94514057290546,2.12783448983349,6.6761780140761,2.1385737439222,0.712588144242809,0.521144692870608,1.2092311305976,32.0329047459972,99,NA,56.780935137708
"Denton",0.88068279610204,1.21743364986608,59.196457145126,88.9700223192721,1.61522661947273,1.0740212947966,2.79160515989355,0.956156933592841,0.235356237642078,0.235356237642078,0.45757965145961,34.251152252108,89.0258822823362,NA,92.2584562929362
"Collin",0.779224220888212,1.01955888472742,62.8180934678264,93.1182015480595,1.52229864921936,0.964485842984037,2.58492473002647,0.956278988326074,0.321578421313027,0.321578421313027,0.553812365390418,36.9944616652834,99,NA,95.8056731529786
